Store_Number,Store_Name,Status,WFM_Region,WFM_Region_Abbr,Op_Area,UNFI_DC,UNFI_Region,Distributor,Merch_Partner,Wire_Rack,DC_Source,Address,City,State,Zip,Latitude,Longitude
10588,Chambers Bay,Open,Pacific Northwest,PN,Central West,"Ridgefield, WA",West,UNFI,Basemakers,No,mapped,3515 Bridgeport Way W,University Place,WA,98466,47.2272339,-122.5361
10649,Chamblee,Open,South,SO,Southeast,"Atlanta, GA",East,UNFI,Basemakers,No,mapped,5001 Peachtree Blvd Ste 300,Chamblee,GA,30341,33.8850594,-84.3141
10497,Champions,Open,Southwest,SW,Central West,"Lancaster, TX",West,UNFI,Final Touch,No,mapped,10133 Louetta Rd,Houston,TX,77070,29.9983959,-95.562
10272,Chandler,Open,Southern Pacific,SP,Central West,"Moreno Valley, CA",West,UNFI,Uncovered,No,mapped,2955 W Ray Rd,Chandler,AZ,85224,33.3185501,-111.8929
10008,Chapel Hill,Open,South,SO,Southeast,"Atlanta, GA",East,UNFI,Basemakers,No,mapped,81 S Elliott Rd,Chapel Hill,NC,27514,35.9345284,-79.0276
10600,Chappaqua,Open,Northeast,NE,Northeast,"Montgomery, NY (HVA)",East,Rainforest,Final Touch,Yes,mapped,20 The Crossing,Chappaqua,NY,10514,41.177948,-73.755
10158,Charles River Plaza,Open,North Atlantic,,North Atlantic & International,"Dayville, CT",East,Rainforest,Final Touch,No,mapped,181 Cambridge St,Boston,MA,2114,42.3619003,-71.0654
10201,Charleston,Open,South,SO,Southeast,"Atlanta, GA",East,UNFI,Uncovered,No,mapped,923 Houston Northcutt Blvd,Mount Pleasant,SC,29464,32.8021622,-79.8891
10509,Charlestown,Open,North Atlantic,,North Atlantic & International,"Chesterfield, NH",East,Rainforest,Final Touch,No,mapped,27 Austin St,Charlestown,MA,2129,42.3756447,-71.0663
10205,Charlottesville,Open,Mid-Atlantic,MA,Southeast,"York, PA",East,UNFI,Uncovered,No,mapped,1797 Hydraulic Rd,Charlottesville,VA,22901,38.0596886,-78.4893
10409,Chattanooga,Open,South,SO,Southeast,"Atlanta, GA",East,UNFI,Uncovered,No,mapped,301 Manufacturers Rd,Chattanooga,TN,37405,35.0633698,-85.3144
10782,Chattanooga East,Open,South,SO,Southeast,"Atlanta, GA",,UNFI,Uncovered,No,inferred (region modal),1814 Gunbarrel Rd Ste 100,Chattanooga,TN,37421,35.0238495,-85.1561
10131,Chelsea,Open,Northeast,NE,Northeast,"Montgomery, NY (HVA)",East,Rainforest,Final Touch,Yes,mapped,250 7th Ave,New York,NY,10001,40.7451134,-73.9953
10095,Cherry Creek,Open,Rocky Mountain,RM,Central West,"Aurora, CO",West,UNFI,Basemakers,No,mapped,2375 E 1st Ave,Denver,CO,80206,39.7185211,-104.9579
10526,Cherry Hill,Open,Mid-Atlantic,MA,Northeast,"York, PA",East,UNFI,Final Touch,No,mapped,1558 Kings Highway North,Cherry Hill,NJ,8034,39.9158783,-75.0114
10369,Chicago Ave,Closed,Midwest,MW,Midwest,"Sturtevant, WI (RAC)",,Unknown,Uncovered,No,inferred (region modal),1111 Chicago Ave,Evanston,IL,60202,42.0380974,-87.6798
10568,Chicago Edgewater,Open,Midwest,MW,Midwest,"Sturtevant, WI (RAC)",East,UNFI,Final Touch,No,mapped,6009 N Broadway St,Chicago,IL,60660,41.9912186,-87.66
10017,"Chicago, IL (Lincoln Park)",Closed,Midwest,MW,Midwest,"Sturtevant, WI (RAC)",,Unknown,Uncovered,No,inferred (region modal),1000 West North Ave,Chicago,IL,60622,41.9119034,-87.6547
10287,Cincinnati,Open,Midwest,MW,Midwest,"Sturtevant, WI (RAC)",East,UNFI,Uncovered,No,mapped,2693 Edmondson Rd,Cincinnati,OH,45209,39.1454697,-84.4473
10613,Cityline,Open,Southwest,SW,Central West,"Lancaster, TX",West,UNFI,Final Touch,No,mapped,1411 E Renner Rd,Richardson,TX,75082,32.9987946,-96.6987
10576,Clark,Open,Northeast,NE,Northeast,"Montgomery, NY (HVA)",East,Rainforest,Final Touch,Yes,mapped,1255 Raritan Rd,Clark,NJ,7066,40.6315231,-74.3043
10515,Clearwater,Open,Florida,FL,Southeast,"Sarasota, FL",East,UNFI,Uncovered,No,mapped,27001 US Highway 19 N Ste 8520,Clearwater,FL,33761,28.0169487,-82.7358
10381,Closter,Open,Northeast,NE,Northeast,"Montgomery, NY (HVA)",East,Rainforest,Final Touch,Yes,mapped,33 Vervalen St,Closter,NJ,7624,40.9706879,-73.9563
10184,Cobb,Closed,South,SO,Southeast,"Atlanta, GA",,Unknown,Uncovered,No,inferred (region modal),70 Powers Ferry Rd SE,Marietta,GA,30067,33.948082,-84.5134
10370,Coddingtown,Open,Northern California,NC,California,"Rocklin, CA",West,UNFI,Uncovered,No,mapped,390 Coddingtown Ctr,Santa Rosa,CA,95401,38.4579735,-122.7318
10350,Colfax,Closed,Rocky Mountain,RM,Central West,"Aurora, CO",West,Unknown,Uncovered,No,mapped,14357 W Colfax Ave,Lakewood,CO,80401,39.7365036,-105.1615
10523,Colleyville,Open,Southwest,SW,Central West,"Lancaster, TX",West,UNFI,Final Touch,No,mapped,4801 Colleyville Blvd,Colleyville,TX,76034,32.8792114,-97.1555
10331,Colorado Blvd,Open,Rocky Mountain,RM,Central West,"Aurora, CO",West,UNFI,Basemakers,No,mapped,870 S Colorado Blvd,Denver,CO,80246,39.7007408,-104.9397
10261,Colorado Merch of Vino,Closed,Rocky Mountain,RM,Central West,"Aurora, CO",,Unknown,Uncovered,No,inferred (region modal),,Devner,CO,,,
10499,Columbia,Open,Mid-Atlantic,MA,Northeast,"York, PA",East,UNFI,Final Touch,No,mapped,10275 Little Patuxent Pkwy,Columbia,MD,21044,39.2139397,-76.8559
10214,Columbus,Open,Midwest,MW,Midwest,"Sturtevant, WI (RAC)",East,UNFI,Uncovered,No,mapped,3670 W Dublin-Granville Rd,Dublin,OH,43235,40.098629,-83.0866
10160,Columbus Circle,Open,Northeast,NE,Northeast,"Montgomery, NY (HVA)",East,Rainforest,Final Touch,Yes,mapped,10 Columbus Cir,New York,NY,10019,40.7678795,-73.983
10683,Commack,Open,Northeast,NE,Northeast,"Montgomery, NY (HVA)",East,Rainforest,Final Touch,Yes,mapped,120 Veterans Memorial Hwy,Commack,NY,11725,40.8381157,-73.2841
10677,Concord,Open,Northern California,NC,California,"Rocklin, CA",West,UNFI,Uncovered,No,mapped,2085 Diamond Blvd Ste 125,Concord,CA,94520,37.9741364,-122.0588
